1,0.546,0.466,0.472
2,0.563,0.44,0.424
3,0.555,0.415,0.448
4,0.573,0.413,0.428
5,0.589,0.407,0.413
6,0.611,0.412,0.389
7,0.577,0.41,0.404
8,0.59,0.379,0.413
9,0.633,0.376,0.401
10,0.634,0.368,0.372
11,0.637,0.359,0.373
12,0.632,0.33,0.359
13,0.66,0.326,0.362
14,0.636,0.387,0.363
15,0.652,0.371,0.349
16,0.649,0.339,0.366
17,0.68,0.326,0.352
18,0.667,0.309,0.341
19,0.688,0.335,0.343
20,0.674,0.315,0.319
21,0.668,0.327,0.299
22,0.669,0.31,0.342
23,0.707,0.326,0.351
24,0.668,0.311,0.32
25,0.688,0.289,0.328
26,0.704,0.283,0.299
27,0.704,0.308,0.317
28,0.691,0.296,0.294
29,0.694,0.3,0.269
30,0.723,0.307,0.277
31,0.703,0.314,0.303
32,0.734,0.286,0.283
33,0.709,0.278,0.256
34,0.729,0.295,0.289
35,0.737,0.296,0.275
36,0.756,0.259,0.272
37,0.744,0.257,0.271
38,0.73,0.259,0.271
39,0.732,0.299,0.261
40,0.743,0.27,0.256
41,0.75,0.25,0.255
42,0.749,0.261,0.279
43,0.734,0.267,0.258
44,0.736,0.271,0.271
45,0.747,0.258,0.228
46,0.751,0.254,0.226
47,0.761,0.285,0.259
48,0.773,0.243,0.264
49,0.793,0.256,0.234
50,0.765,0.25,0.256
51,0.77,0.229,0.251
52,0.778,0.248,0.253
53,0.739,0.242,0.251
54,0.76,0.23,0.236
55,0.766,0.213,0.235
56,0.762,0.239,0.223
57,0.792,0.225,0.231
58,0.775,0.203,0.202
59,0.75,0.219,0.235
60,0.785,0.211,0.22
61,0.79,0.203,0.195
62,0.767,0.22,0.211
63,0.8,0.178,0.247
64,0.77,0.217,0.206
65,0.791,0.2,0.176
66,0.794,0.212,0.208
67,0.806,0.195,0.211
68,0.774,0.202,0.223
69,0.805,0.198,0.197
70,0.779,0.204,0.194
71,0.769,0.204,0.197
72,0.807,0.207,0.197
73,0.826,0.189,0.2
74,0.793,0.205,0.177
75,0.819,0.212,0.204
76,0.823,0.2,0.179
77,0.818,0.174,0.175
78,0.829,0.19,0.196
79,0.831,0.203,0.178
80,0.816,0.189,0.188
81,0.819,0.179,0.195
82,0.809,0.186,0.17
83,0.809,0.185,0.174
84,0.835,0.174,0.178
85,0.838,0.176,0.182
86,0.828,0.19,0.167
87,0.802,0.187,0.179
88,0.824,0.171,0.174
89,0.816,0.155,0.166
90,0.833,0.171,0.167
91,0.812,0.175,0.175
92,0.825,0.167,0.145
93,0.826,0.144,0.172
94,0.827,0.155,0.163
95,0.844,0.162,0.182
96,0.842,0.172,0.159
97,0.832,0.177,0.16
98,0.843,0.157,0.17
99,0.849,0.168,0.153
100,0.858,0.155,0.172
101,0.846,0.166,0.171
102,0.838,0.147,0.134
103,0.846,0.132,0.169
104,0.831,0.168,0.157
105,0.849,0.157,0.142
106,0.85,0.13,0.148
107,0.859,0.14,0.151
108,0.843,0.145,0.148
109,0.853,0.151,0.148
110,0.84,0.149,0.151
111,0.879,0.151,0.148
112,0.862,0.135,0.159
113,0.867,0.163,0.148
114,0.854,0.129,0.153
115,0.849,0.131,0.125
116,0.84,0.146,0.134
117,0.857,0.139,0.144
118,0.863,0.137,0.132
119,0.841,0.157,0.14
120,0.85,0.136,0.14
121,0.852,0.155,0.134
122,0.861,0.126,0.119
123,0.866,0.13,0.121
124,0.837,0.1,0.13
125,0.873,0.131,0.117
126,0.863,0.129,0.133
127,0.881,0.139,0.121
128,0.859,0.133,0.125
129,0.876,0.13,0.119
130,0.871,0.121,0.123
131,0.88,0.125,0.135
132,0.873,0.124,0.115
133,0.881,0.131,0.136
134,0.893,0.12,0.113
135,0.876,0.12,0.13
136,0.878,0.13,0.129
137,0.868,0.123,0.111
138,0.888,0.133,0.121
139,0.87,0.135,0.11
140,0.887,0.107,0.125
141,0.889,0.12,0.096
142,0.883,0.136,0.126
143,0.89,0.11,0.116
144,0.901,0.116,0.118
145,0.871,0.115,0.104
146,0.897,0.119,0.117
147,0.877,0.106,0.112
148,0.875,0.105,0.106
149,0.89,0.107,0.112
150,0.892,0.092,0.099
151,0.883,0.104,0.117
152,0.892,0.077,0.11
153,0.91,0.111,0.114
154,0.871,0.107,0.104
155,0.893,0.097,0.108
156,0.896,0.115,0.09
